Time,Position,theta,Force
0,0.00789472,0.515169,36008
0.001,0.0157989,0.506734,-100.535
0.002,0.0237116,0.498296,-102.705
0.003,0.031632,0.489856,-104.856
0.004,0.0395593,0.481413,-106.985
0.005,0.0474923,0.47297,-109.092
0.006,0.0554303,0.464528,-111.174
0.007,0.0633722,0.456086,-113.231
0.008,0.0713171,0.447646,-115.26
0.009,0.0792639,0.43921,-117.26
0.01,0.0872115,0.430777,-119.229
0.011,0.095159,0.42235,-121.165
0.012,0.103105,0.413929,-123.067
0.013,0.111049,0.405516,-124.933
0.014,0.11899,0.397111,-126.762
0.015,0.126926,0.388716,-128.552
0.016,0.134856,0.380333,-130.301
0.017,0.142779,0.371961,-132.009
0.018,0.150694,0.363604,-133.672
0.019,0.1586,0.355261,-135.291
0.02,0.166496,0.346935,-136.863
0.021,0.17438,0.338626,-138.387
0.022,0.182251,0.330336,-139.862
0.023,0.190108,0.322067,-141.287
0.024,0.197949,0.313819,-142.661
0.025,0.205774,0.305595,-143.983
0.026,0.213582,0.297395,-145.25
0.027,0.22137,0.289221,-146.464
0.028,0.229138,0.281075,-147.623
0.029,0.236885,0.272957,-148.726
0.03,0.244609,0.26487,-149.772
0.031,0.252309,0.256814,-150.762
0.032,0.259984,0.248791,-151.694
0.033,0.267632,0.240802,-152.569
0.034,0.275253,0.23285,-153.387
0.035,0.282846,0.224935,-154.147
0.036,0.290409,0.217058,-154.849
0.037,0.29794,0.209221,-155.494
0.038,0.30544,0.201425,-156.082
0.039,0.312907,0.193671,-156.613
0.04,0.320339,0.185961,-157.088
0.041,0.327737,0.178297,-157.508
0.042,0.335098,0.170678,-157.873
0.043,0.342422,0.163106,-158.183
0.044,0.349708,0.155583,-158.441
0.045,0.356955,0.148109,-158.647
0.046,0.364163,0.140685,-158.802
0.047,0.371329,0.133313,-158.908
0.048,0.378455,0.125993,-158.965
0.049,0.385537,0.118726,-158.975
0.05,0.392577,0.111514,-158.94
0.051,0.399574,0.104356,-158.86
0.052,0.406526,0.0972539,-158.738
0.053,0.413433,0.0902081,-158.575
0.054,0.420295,0.0832193,-158.372
0.055,0.42711,0.076288,-158.132
0.056,0.433879,0.0694149,-157.856
0.057,0.440601,0.0626005,-157.545
0.058,0.447276,0.0558452,-157.201
0.059,0.453903,0.0491493,-156.826
0.06,0.460482,0.0425134,-156.422
0.061,0.467013,0.0359376,-155.991
0.062,0.473495,0.0294223,-155.533
0.063,0.479928,0.0229677,-155.051
0.064,0.486311,0.016574,-154.546
0.065,0.492646,0.0102412,-154.02
0.066,0.498931,0.00396957,-153.475
0.067,0.505167,-0.00224092,-152.912
0.068,0.511353,-0.00839023,-152.332
0.069,0.517489,-0.0144784,-151.738
0.07,0.523576,-0.0205055,-151.13
0.071,0.529613,-0.0264715,-150.509
0.072,0.5356,-0.0323767,-149.878
0.073,0.541538,-0.0382212,-149.237
0.074,0.547426,-0.0440052,-148.589
0.075,0.553266,-0.0497288,-147.933
0.076,0.559055,-0.0553924,-147.271
0.077,0.564796,-0.0609961,-146.604
0.078,0.570488,-0.0665404,-145.933
0.079,0.576131,-0.0720255,-145.26
0.08,0.581726,-0.0774517,-144.584
0.081,0.587272,-0.0828195,-143.908
0.082,0.59277,-0.0881291,-143.232
0.083,0.598221,-0.093381,-142.556
0.084,0.603623,-0.0985756,-141.881
0.085,0.608979,-0.103713,-141.209
0.086,0.614287,-0.108794,-140.539
0.087,0.619549,-0.11382,-139.873
0.088,0.624764,-0.118789,-139.21
0.089,0.629934,-0.123704,-138.552
0.09,0.635057,-0.128564,-137.899
0.091,0.640135,-0.13337,-137.251
0.092,0.645168,-0.138122,-136.609
0.093,0.650156,-0.142821,-135.973
0.094,0.655099,-0.147468,-135.344
0.095,0.659998,-0.152062,-134.721
0.096,0.664854,-0.156605,-134.105
0.097,0.669666,-0.161097,-133.497
0.098,0.674435,-0.165538,-132.897
0.099,0.679161,-0.169929,-132.304
0.1,0.683845,-0.174271,-131.719
0.101,0.688486,-0.178563,-131.142
0.102,0.693086,-0.182807,-130.573
0.103,0.697645,-0.187003,-130.013
0.104,0.702162,-0.191152,-129.461
0.105,0.706639,-0.195254,-128.917
0.106,0.711076,-0.199309,-128.382
0.107,0.715473,-0.203318,-127.856
0.108,0.71983,-0.207282,-127.338
0.109,0.724148,-0.211201,-126.829
0.11,0.728427,-0.215076,-126.328
0.111,0.732667,-0.218907,-125.836
0.112,0.736869,-0.222694,-125.352
0.113,0.741033,-0.226438,-124.877
0.114,0.74516,-0.23014,-124.411
0.115,0.749249,-0.2338,-123.953
0.116,0.753302,-0.237418,-123.503
0.117,0.757318,-0.240996,-123.061
0.118,0.761298,-0.244533,-122.628
0.119,0.765241,-0.248029,-122.203
0.12,0.769149,-0.251486,-121.786
0.121,0.773022,-0.254904,-121.377
0.122,0.77686,-0.258283,-120.975
0.123,0.780663,-0.261624,-120.582
0.124,0.784432,-0.264927,-120.196
0.125,0.788166,-0.268192,-119.817
0.126,0.791867,-0.271421,-119.446
0.127,0.795534,-0.274613,-119.082
0.128,0.799168,-0.277768,-118.726
0.129,0.802769,-0.280888,-118.376
0.13,0.806337,-0.283972,-118.034
0.131,0.809873,-0.287021,-117.698
0.132,0.813376,-0.290036,-117.369
0.133,0.816848,-0.293016,-117.046
0.134,0.820288,-0.295963,-116.73
0.135,0.823697,-0.298876,-116.421
0.136,0.827074,-0.301756,-116.117
0.137,0.830421,-0.304603,-115.82
0.138,0.833737,-0.307418,-115.528
0.139,0.837023,-0.3102,-115.243
0.14,0.840278,-0.312951,-114.963
0.141,0.843504,-0.315671,-114.689
0.142,0.8467,-0.318359,-114.42
0.143,0.849866,-0.321017,-114.156
0.144,0.853004,-0.323644,-113.898
0.145,0.856112,-0.326241,-113.645
0.146,0.859191,-0.328808,-113.397
0.147,0.862242,-0.331346,-113.154
0.148,0.865265,-0.333855,-112.915
0.149,0.868259,-0.336335,-112.681
0.15,0.871225,-0.338786,-112.452
0.151,0.874164,-0.341209,-112.227
0.152,0.877075,-0.343604,-112.007
0.153,0.879958,-0.345971,-111.79
0.154,0.882815,-0.348311,-111.578
0.155,0.885644,-0.350624,-111.37
0.156,0.888447,-0.35291,-111.166
0.157,0.891223,-0.355169,-110.965
0.158,0.893972,-0.357401,-110.768
0.159,0.896696,-0.359608,-110.575
0.16,0.899393,-0.361789,-110.385
0.161,0.902064,-0.363944,-110.199
0.162,0.904709,-0.366073,-110.016
0.163,0.907329,-0.368178,-109.836
0.164,0.909924,-0.370257,-109.659
0.165,0.912493,-0.372312,-109.486
0.166,0.915037,-0.374342,-109.315
0.167,0.917556,-0.376348,-109.147
0.168,0.92005,-0.37833,-108.982
0.169,0.92252,-0.380289,-108.82
0.17,0.924965,-0.382223,-108.66
0.171,0.927385,-0.384134,-108.502
0.172,0.929782,-0.386023,-108.348
0.173,0.932154,-0.387888,-108.195
0.174,0.934503,-0.38973,-108.045
0.175,0.936827,-0.39155,-107.897
0.176,0.939128,-0.393347,-107.751
0.177,0.941405,-0.395122,-107.607
0.178,0.943659,-0.396875,-107.465
0.179,0.94589,-0.398606,-107.325
0.18,0.948097,-0.400316,-107.187
0.181,0.950282,-0.402004,-107.051
0.182,0.952443,-0.403671,-106.916
0.183,0.954582,-0.405316,-106.783
0.184,0.956698,-0.406941,-106.652
0.185,0.958791,-0.408545,-106.522
0.186,0.960862,-0.410128,-106.393
0.187,0.96291,-0.411691,-106.266
0.188,0.964937,-0.413234,-106.141
0.189,0.966941,-0.414756,-106.016
0.19,0.968923,-0.416258,-105.893
0.191,0.970883,-0.417741,-105.771
0.192,0.972822,-0.419204,-105.65
0.193,0.974738,-0.420647,-105.53
0.194,0.976634,-0.422071,-105.411
0.195,0.978507,-0.423476,-105.293
0.196,0.980359,-0.424861,-105.176
0.197,0.98219,-0.426228,-105.059
0.198,0.984,-0.427575,-104.944
0.199,0.985788,-0.428905,-104.829
0.2,0.987556,-0.430215,-104.715
0.201,0.989302,-0.431507,-104.601
0.202,0.991028,-0.432781,-104.489
0.203,0.992733,-0.434036,-104.376
0.204,0.994417,-0.435274,-104.264
0.205,0.996081,-0.436493,-104.153
0.206,0.997724,-0.437695,-104.042
0.207,0.999347,-0.438879,-103.932
0.208,1.00095,-0.440046,-103.821
0.209,1.00253,-0.441195,-103.711
0.21,1.00409,-0.442326,-103.602
0.211,1.00564,-0.443441,-103.492
0.212,1.00716,-0.444538,-103.383
0.213,1.00866,-0.445618,-103.274
0.214,1.01014,-0.446682,-103.165
0.215,1.0116,-0.447728,-103.056
0.216,1.01305,-0.448758,-102.947
0.217,1.01447,-0.449772,-102.838
0.218,1.01587,-0.450769,-102.729
0.219,1.01726,-0.451749,-102.62
0.22,1.01862,-0.452713,-102.51
0.221,1.01997,-0.453661,-102.401
0.222,1.02129,-0.454593,-102.291
0.223,1.0226,-0.455509,-102.182
0.224,1.02389,-0.456409,-102.072
0.225,1.02515,-0.457294,-101.961
0.226,1.0264,-0.458162,-101.851
