Time,Position,theta,Force
0.155,-0.0636801,0.667918,0
0.156,-0.0644427,0.66974,0
0.157,-0.0652088,0.671572,0
0.158,-0.0659782,0.673415,0
0.159,-0.0667511,0.675269,0
0.16,-0.0675273,0.677134,0
0.161,-0.0683068,0.679009,0
0.162,-0.0690896,0.680895,0
0.163,-0.0698756,0.682792,0
0.164,-0.0706649,0.6847,0
0.165,-0.0714574,0.686619,0
0.166,-0.072253,0.688548,0
0.167,-0.0730518,0.690487,0
0.168,-0.0738537,0.692438,0
0.169,-0.0746587,0.694399,0
0.17,-0.0754667,0.696371,0
0.171,-0.0762777,0.698353,0
0.172,-0.0770917,0.700346,0
0.173,-0.0779087,0.70235,0
0.174,-0.0787286,0.704364,0
0.175,-0.0795513,0.706388,0
0.176,-0.080377,0.708424,0
0.177,-0.0812054,0.710469,0
0.178,-0.0820366,0.712525,0
0.179,-0.0828706,0.714592,0
0.18,-0.0837074,0.716669,0
0.181,-0.0845468,0.718757,0
0.182,-0.0853889,0.720855,0
0.183,-0.0862336,0.722964,0
0.184,-0.0870809,0.725083,0
0.185,-0.0879308,0.727212,0
0.186,-0.0887832,0.729352,0
0.187,-0.089638,0.731502,0
0.188,-0.0904954,0.733662,0
0.189,-0.0913551,0.735833,0
0.19,-0.0922173,0.738014,0
0.191,-0.0930818,0.740205,0
0.192,-0.0939486,0.742407,0
0.193,-0.0948178,0.744619,0
0.194,-0.0956891,0.746841,0
0.195,-0.0965627,0.749073,0
0.196,-0.0974385,0.751316,0
0.197,-0.0983164,0.753568,0
0.198,-0.0991964,0.755831,0
0.199,-0.100078,0.758104,0
0.2,-0.100963,0.760388,0
0.201,-0.101849,0.762681,0
0.202,-0.102737,0.764985,0
0.203,-0.103627,0.767298,0
0.204,-0.104519,0.769622,0
0.205,-0.105412,0.771955,0
0.206,-0.106308,0.774299,0
0.207,-0.107205,0.776653,0
0.208,-0.108104,0.779017,0
0.209,-0.109005,0.781391,0
0.21,-0.109907,0.783774,0
0.211,-0.110811,0.786168,0
0.212,-0.111717,0.788572,0
0.213,-0.112624,0.790986,0
0.214,-0.113533,0.793409,0
0.215,-0.114443,0.795843,0
0.216,-0.115355,0.798286,0
0.217,-0.116268,0.800739,0
0.218,-0.117182,0.803202,0
0.219,-0.118098,0.805675,0
0.22,-0.119015,0.808158,0
0.221,-0.119933,0.81065,0
0.222,-0.120852,0.813153,0
0.223,-0.121773,0.815665,0
0.224,-0.122694,0.818187,0
0.225,-0.123617,0.820718,0
0.226,-0.124541,0.823259,0
0.227,-0.125466,0.825811,0
0.228,-0.126391,0.828371,0
0.229,-0.127318,0.830942,0
0.23,-0.128245,0.833522,0
0.231,-0.129174,0.836111,0
0.232,-0.130103,0.838711,0
0.233,-0.131033,0.84132,0
0.234,-0.131963,0.843938,0
0.235,-0.132895,0.846567,0
0.236,-0.133826,0.849204,0
0.237,-0.134759,0.851852,0
0.238,-0.135692,0.854509,0
0.239,-0.136625,0.857175,0
0.24,-0.137559,0.859851,0
0.241,-0.138494,0.862536,0
0.242,-0.139428,0.865231,0
0.243,-0.140363,0.867936,0
0.244,-0.141299,0.87065,0
0.245,-0.142234,0.873373,0
0.246,-0.14317,0.876106,0
0.247,-0.144106,0.878848,0
0.248,-0.145042,0.881599,0
0.249,-0.145978,0.88436,0
0.25,-0.146914,0.887131,0
0.251,-0.147851,0.889911,0
0.252,-0.148787,0.8927,0
0.253,-0.149723,0.895498,0
0.254,-0.150659,0.898306,0
0.255,-0.151594,0.901123,0
0.256,-0.15253,0.903949,0
0.257,-0.153465,0.906785,0
0.258,-0.1544,0.90963,0
0.259,-0.155334,0.912484,0
0.26,-0.156268,0.915348,0
0.261,-0.157202,0.918221,0
0.262,-0.158135,0.921103,0
0.263,-0.159067,0.923994,0
0.264,-0.159999,0.926895,0
0.265,-0.16093,0.929804,0
0.266,-0.161861,0.932723,0
0.267,-0.162791,0.935651,0
0.268,-0.16372,0.938588,0
0.269,-0.164648,0.941535,0
0.27,-0.165575,0.94449,0
0.271,-0.166502,0.947455,0
0.272,-0.167427,0.950429,0
0.273,-0.168352,0.953412,0
0.274,-0.169275,0.956404,0
0.275,-0.170198,0.959405,0
0.276,-0.171119,0.962415,0
0.277,-0.172039,0.965435,0
0.278,-0.172957,0.968463,0
0.279,-0.173875,0.971501,0
0.28,-0.174791,0.974547,0
0.281,-0.175706,0.977603,0
0.282,-0.176619,0.980668,0
0.283,-0.177531,0.983742,0
0.284,-0.178441,0.986824,0
0.285,-0.17935,0.989916,0
0.286,-0.180257,0.993017,0
0.287,-0.181162,0.996127,0
0.288,-0.182066,0.999246,0
0.289,-0.182968,1.00237,0
0.29,-0.183868,1.00551,0
0.291,-0.184767,1.00866,0
0.292,-0.185663,1.01181,0
0.293,-0.186557,1.01497,0
0.294,-0.18745,1.01815,0
0.295,-0.18834,1.02133,0
0.296,-0.189228,1.02452,0
0.297,-0.190114,1.02772,0
0.298,-0.190998,1.03093,0
0.299,-0.19188,1.03415,0
0.3,-0.192759,1.03737,0
0.301,-0.193636,1.04061,0
0.302,-0.194511,1.04385,0
0.303,-0.195383,1.04711,0
0.304,-0.196252,1.05037,0
0.305,-0.197119,1.05364,0
0.306,-0.197984,1.05692,0
0.307,-0.198846,1.06021,0
0.308,-0.199705,1.06351,0
0.309,-0.200561,1.06681,0
0.31,-0.201414,1.07013,0
0.311,-0.202265,1.07345,0
0.312,-0.203113,1.07679,0
0.313,-0.203958,1.08013,0
0.314,-0.204799,1.08348,0
0.315,-0.205638,1.08684,0
0.316,-0.206474,1.09021,0
0.317,-0.207306,1.09359,0
0.318,-0.208135,1.09698,0
0.319,-0.208961,1.10037,0
0.32,-0.209784,1.10378,0
0.321,-0.210603,1.10719,0
0.322,-0.211419,1.11062,0
0.323,-0.212231,1.11405,0
0.324,-0.21304,1.11749,0
0.325,-0.213845,1.12094,0
0.326,-0.214646,1.1244,0
0.327,-0.215444,1.12787,0
0.328,-0.216238,1.13134,0
0.329,-0.217029,1.13483,0
0.33,-0.217815,1.13832,0
0.331,-0.218598,1.14183,0
0.332,-0.219376,1.14534,0
0.333,-0.220151,1.14886,0
0.334,-0.220921,1.15239,0
0.335,-0.221687,1.15593,0
0.336,-0.22245,1.15948,0
0.337,-0.223208,1.16304,0
0.338,-0.223961,1.1666,0
0.339,-0.224711,1.17018,0
0.34,-0.225455,1.17376,0
0.341,-0.226196,1.17736,0
0.342,-0.226932,1.18096,0
0.343,-0.227663,1.18457,0
0.344,-0.22839,1.18819,0
0.345,-0.229112,1.19182,0
0.346,-0.229829,1.19546,0
0.347,-0.230542,1.19911,0
0.348,-0.231249,1.20277,0
0.349,-0.231952,1.20643,0
0.35,-0.23265,1.21011,0
0.351,-0.233343,1.21379,0
0.352,-0.234031,1.21749,0
0.353,-0.234713,1.22119,0
0.354,-0.235391,1.2249,0
0.355,-0.236063,1.22862,0
0.356,-0.236729,1.23235,0
0.357,-0.237391,1.23609,0
