-3.98729, -0.0398078, 9.1706, 
-2.12454, -3.37411, 9.17071, 
1.69614, -3.60849, 9.17073, 
3.9551, -0.507343, 9.1706, 
2.55112, 3.0646, 9.1706, 
-1.20829, 3.79995, 9.17062, 
-3.84979, 1.03895, 9.17059, 
-2.95796, -2.6737, 9.17071, 
0.653737, -3.93311, 9.1708, 
3.66829, -1.56303, 9.17065, 
3.28762, 2.25662, 9.17056, 
-0.133826, 3.98528, 9.17057, 
-3.42584, 2.04068, 9.17056, 
-3.57064, -1.77459, 9.17069, 
-0.436711, -3.96296, 9.17086, 
3.10554, -2.5007, 9.17074, 
3.77711, 1.27848, 9.17055, 
0.951597, 3.87244, 9.17052, 
-2.7466, 2.89094, 9.17052, 
-3.91742, -0.743763, 9.17064, 
-1.49357, -3.69655, 9.17088, 
2.30966, -3.24985, 9.17084, 
3.98233, 0.203864, 9.17058, 
1.96657, 3.46912, 9.17048, 
-1.86215, 3.52627, 9.17048, 
-3.97281, 0.342273, 9.17058, 
-2.43814, -3.1545, 9.17087, 
1.341, -3.75446, 9.17094, 
3.88768, -0.88608, 9.17066, 
2.83457, 2.80497, 9.17046, 
-0.837959, 3.89884, 9.17043, 
-3.73271, 1.40301, 9.17052, 
-3.2004, -2.37773, 9.17082, 
0.272643, -3.97724, 9.17102, 
3.50039, -1.90902, 9.17078, 
3.4899, 1.92953, 9.17047, 
0.249789, 3.98015, 9.17038, 
-3.21472, 2.35975, 9.17044, 
-3.72409, -1.4243, 9.17075, 
-0.815171, -3.90224, 9.17106, 
2.85001, -2.78785, 9.17091, 
3.88279, 0.908589, 9.17052, 
1.31976, 3.76337, 9.17034, 
-2.45694, 3.14128, 9.17037, 
-3.97063, -0.365131, 9.17065, 
-1.84119, -3.53582, 9.17106, 
1.98595, -3.45662, 9.17105, 
3.98335, -0.18085, 9.17063, 
2.29153, 3.26404, 9.17032, 
-1.51531, 3.68908, 9.17029, 
-3.92186, 0.721241, 9.17054, 
-2.72915, -2.90596, 9.17101, 
0.973618, -3.86551, 9.17116, 
3.78397, -1.25648, 9.17077, 
3.09172, 2.51911, 9.17035, 
-0.459669, 3.96174, 9.17023, 
-3.58131, 1.75428, 9.17042, 
-3.41335, -2.05999, 9.17091, 
-0.110745, -3.98453, 9.17124, 
3.29992, -2.2371, 9.17094, 
3.65967, 1.58437, 9.17042, 
0.631303, 3.93814, 9.17019, 
-2.97396, 2.65724, 9.1703, 
-3.84332, -1.061, 9.17078, 
-1.18588, -3.80552, 9.17126, 
2.56807, -3.04891, 9.17112, 
3.95223, 0.530192, 9.17055, 
1.67585, 3.61929, 9.17017, 
-2.14451, 3.36279, 9.1702, 
-3.9874, 0.0168448, 9.17063, 
-2.17166, -3.34259, 9.17122, 
1.64398, -3.63116, 9.17128, 
3.94718, -0.56383, 9.17072, 
2.5953, 3.02848, 9.1702, 
-1.1543, 3.81792, 9.17011, 
-3.83491, 1.09364, 9.17046, 
-2.99494, -2.6308, 9.17112, 
0.59744, -3.94066, 9.1714, 
3.645, -1.61505, 9.17092, 
3.32011, 2.20969, 9.17028, 
-0.0769139, 3.988, 9.17004, 
-3.39697, 2.08952, 9.1703, 
-3.59489, -1.72343, 9.17097, 
-0.492874, -3.95496, 9.17146, 
3.06879, -2.54419, 9.17115, 
3.7953, 1.22438, 9.17042, 
1.00716, 3.85956, 9.17002, 
-2.70573, 2.93041, 9.17015, 
-3.92727, -0.687999, 9.17078, 
-1.54545, -3.67375, 9.17145, 
2.2624, -3.28147, 9.17136, 
