0, 1, -1e-06, 0.0001, 1e-06, 1, 1.11111e-11, -0.0001, -1.11111e-11, 1, 
0.1, 0.994999, -0.000999722, 0.0999334, 0.000999165, 0.999999, 5.55765e-05, -0.0999334, 4.44513e-05, 0.994999, 
0.2, 0.980055, -0.00199078, 0.198769, 0.00198635, 0.999998, 0.000221624, -0.198769, 0.000177421, 0.980057, 
0.3, 0.955317, -0.00296656, 0.29562, 0.00295167, 0.999996, 0.000496501, -0.29562, 0.000397955, 0.955321, 
0.4, 0.921033, -0.00391955, 0.389517, 0.00388447, 0.999992, 0.000877489, -0.389517, 0.000704471, 0.921041, 
0.5, 0.877545, -0.00484237, 0.479523, 0.00477444, 0.999988, 0.00136082, -0.479523, 0.00109477, 0.877557, 
0.6, 0.825287, -0.00572786, 0.564738, 0.00561165, 0.999982, 0.00194172, -0.564739, 0.00156602, 0.825305, 
0.7, 0.764782, -0.0065691, 0.64431, 0.00638673, 0.999976, 0.00261445, -0.644312, 0.00211484, 0.764806, 
0.8, 0.696634, -0.00735945, 0.717445, 0.00709093, 0.999969, 0.00337235, -0.717447, 0.00273724, 0.696665, 
0.9, 0.621524, -0.00809261, 0.78341, 0.00771619, 0.999961, 0.00420793, -0.783414, 0.0034287, 0.621563, 
1, 0.540203, -0.00876268, 0.841548, 0.00825526, 0.999953, 0.00511295, -0.841554, 0.00418415, 0.54025, 
1.1, 0.453483, -0.00936416, 0.891277, 0.00870173, 0.999944, 0.00607847, -0.891284, 0.00499804, 0.453539, 
1.2, 0.362231, -0.00989202, 0.9321, 0.00905012, 0.999934, 0.00709495, -0.932109, 0.00586438, 0.362296, 
1.3, 0.267358, -0.0103418, 0.963609, 0.00929594, 0.999924, 0.00815237, -0.96362, 0.00677672, 0.267433, 
1.4, 0.169812, -0.0107094, 0.985489, 0.00943572, 0.999913, 0.00924031, -0.985502, 0.00772823, 0.169898, 
1.5, 0.0705687, -0.0109914, 0.997522, 0.00946703, 0.999902, 0.010348, -0.997537, 0.00871176, 0.0706658, 
1.6, -0.0293808, -0.0111852, 0.999586, 0.00938854, 0.99989, 0.0114647, -0.999604, 0.00971982, -0.0292726, 
1.7, -0.129038, -0.0112884, 0.991661, 0.00920001, 0.999879, 0.0125792, -0.991683, 0.0107447, -0.128918, 
1.8, -0.227406, -0.0112995, 0.973827, 0.00890231, 0.999867, 0.0136806, -0.973852, 0.0117785, -0.227275, 
1.9, -0.323503, -0.0112177, 0.946261, 0.00849738, 0.999855, 0.0147583, -0.946289, 0.0128131, -0.323361, 
2, -0.416368, -0.0110428, 0.909239, 0.00798824, 0.999843, 0.0158015, -0.909271, 0.0138403, -0.416215, 
2.1, -0.505074, -0.0107754, 0.863131, 0.00737895, 0.999832, 0.0168, -0.863166, 0.014852, -0.504909, 
2.2, -0.588733, -0.0104166, 0.808397, 0.00667457, 0.99982, 0.0177442, -0.808436, 0.01584, -0.588558, 
2.3, -0.66651, -0.00996833, 0.745584, 0.0058811, 0.999809, 0.0186249, -0.745627, 0.016796, -0.666324, 
2.4, -0.737627, -0.00943335, 0.67532, 0.00500543, 0.999799, 0.0194334, -0.675367, 0.0177123, -0.737432, 
2.5, -0.801375, -0.00881496, 0.598307, 0.00405527, 0.999789, 0.020162, -0.598358, 0.0185809, -0.80117, 
2.6, -0.857115, -0.0081172, 0.515314, 0.00303909, 0.999779, 0.0208037, -0.515369, 0.0193944, -0.856901, 
2.7, -0.90429, -0.00734478, 0.427171, 0.00196598, 0.99977, 0.0213523, -0.42723, 0.0201456, -0.904068, 
2.8, -0.94243, -0.00650306, 0.334759, 0.000845634, 0.999762, 0.0218027, -0.334821, 0.0208275, -0.9422, 
2.9, -0.971153, -0.00559801, 0.239, -0.000311808, 0.999755, 0.0221507, -0.239065, 0.021434, -0.970916, 
3, -0.990171, -0.00463622, 0.140852, -0.00149583, 0.999748, 0.0223931, -0.14092, 0.021959, -0.989929, 
3.1, -0.999296, -0.00362481, 0.0412959, -0.00269565, 0.999743, 0.0225278, -0.0413669, 0.0223972, -0.999048, 
3.2, -0.998434, -0.00257141, -0.0586739, -0.00390035, 0.999738, 0.0225539, 0.0586006, 0.0227438, -0.998183, 
3.3, -0.987596, -0.00148412, -0.158058, -0.00509894, 0.999735, 0.0224714, 0.157983, 0.0229949, -0.987341, 
3.4, -0.966889, -0.000371448, -0.255864, -0.0062805, 0.999732, 0.0222815, 0.255787, 0.0231469, -0.966632, 
3.5, -0.936519, 0.00075776, -0.351114, -0.00743431, 0.999731, 0.0219865, 0.351036, 0.0231971, -0.936261, 
3.6, -0.896791, 0.00189435, -0.442856, -0.00854989, 0.99973, 0.0215898, 0.442778, 0.0231438, -0.896533, 
3.7, -0.848102, 0.00302897, -0.530174, -0.00961718, 0.999731, 0.0210957, 0.530095, 0.0229859, -0.847845, 
3.8, -0.790937, 0.00415208, -0.612194, -0.0106266, 0.999733, 0.0205095, 0.612116, 0.022723, -0.790682, 
3.9, -0.725868, 0.00525409, -0.688097, -0.0115691, 0.999736, 0.0198376, 0.68802, 0.0223558, -0.725616, 
4, -0.653545, 0.00632538, -0.757125, -0.0124364, 0.99974, 0.0190872, 0.75705, 0.0218857, -0.653297, 
4.1, -0.574691, 0.00735643, -0.818588, -0.0132209, 0.999746, 0.0182661, 0.818514, 0.0213152, -0.574448, 
4.2, -0.490093, 0.00833784, -0.871871, -0.0139159, 0.999752, 0.017383, 0.8718, 0.0206474, -0.489856, 
